kor_name,eng_name,team,release,end_dt
더스틴 니퍼트,dustin nippert,두산,0,2010-12-31
크리스 세든,chris seddon,sk,0,2011-12-31
다나 이브랜드,dana james eveland,한화,0,2011-12-31
헨리 소사,henry sosa,기아,0,2011-12-31
아담 윌크,adam robert wilk,NC,0,2011-12-31
하이로 어센시오,jairo asencio,기아,0,2012-12-31
조조 레이예스,jo,sk,0,2012-12-31
개릿 올슨,garrett olson,두산,0,2012-12-31
에릭 해커,eric lynn hacker,NC,0,2012-12-31
릭 밴덴헐크,rick vandenhurk,삼성,0,2012-12-31
태드 웨버,thad g. weber,NC,0,2012-12-31
로스 울프,ross wolf,sk,0,2013-12-31
루카스 하렐,lucas harrell,엘지,0,2013-12-31
알프레도 피가로,alfredo figaro,삼성,0,2013-12-31
앤드류 앨버스,andrew albers,한화,0,2013-12-31
미치 탈보트,mitch talbot,한화,0,2013-12-31
라이언 피어밴드,ryan robert feierabend,넥센,0,2013-12-31
조쉬 린드블럼,josh lindblom,롯데,0,2013-12-31
크리스 볼스테드,chris volstad,두산,0,2013-12-31
필립 험버,philip humber,기아,0,2013-12-31
저스틴 토마스,justin thomas,기아,0,2013-12-31
유네스키 마야,yunesky maya,두산,0,2013-12-31
에버렛 티포드,everett james teaford,엘지,0,2013-12-31
필 어윈,phil irwin,kt,0,2013-12-31
로버트 코엘로,robert coello,넥센,0,2014-12-31
에반 믹,evan meek,기아,0,2014-12-31
앤서니 스와잭,anthony ray swarzak,두산,0,2014-12-31
요한 피노,yohan pino,kt,0,2014-12-31
마이클 보우덴,michael matthew bowden,두산,0,2014-12-31
조쉬 스틴슨,josh stinson,기아,0,2014-12-31
슈가 레이 마리몬,sugar ray marimon,kt,0,2014-12-31
타일러 클로이드,tyler cloyd,삼성,0,2014-12-31
브룩스 레일리,brooks raley,롯데,0,2014-12-31
데이비드 허프,david gregory huff,엘지,0,2015-12-31
헥터 노에시,hector noesi,기아,0,2015-12-31
요한 플란데,yohan flande,삼성,0,2015-12-31
션 오설리반,sean daniel o'sullivan,넥센,0,2015-12-31
에릭 서캠프,eric m. surkamp,한화,0,2015-12-31
아놀드 레온,arnold leon,삼성,0,2015-12-31
앤서니 레나도,anthony ranaudo,삼성,0,2015-12-31
팻 딘,pat dean,기아,0,2015-12-31
스캇 다이아몬드,scott michael diamond,sk,0,2015-12-31
지크 스프루일,zeke spruill,기아,0,2015-12-31
앨런 웹스터,carl allen webster,삼성,0,2015-12-31
스캇 코프랜드,scott reast copeland,엘지,0,2015-12-31
제프 맨쉽,jeff manship,NC,0,2016-12-31
카를로스 비야누에바,carlos villanueva,한화,0,2016-12-31
펠릭스 듀브론트,felix antonio doubront,롯데,0,2016-12-31
알렉시 오간도,alexi ogando,한화,0,2016-12-31
에스밀 로저스,esmil antonio rogers,넥센,0,2016-12-31
제이크 브리검,jake brigham,키움,0,2016-12-31
팀 아델만,tim adleman,삼성,0,2016-12-31
세스 후랭코프,james seth frankoff,두산,0,2016-12-31
키버스 샘슨,keyvius sampson,한화,0,2016-12-31
제이슨 휠러,jason wheeler,한화,0,2016-12-31
앙헬 산체스,angel luis sanchez,sk,0,2016-12-31
로건 베렛,scott logan verrett,NC,0,2017-12-31
리살베르토 보니야,lisalverto bonilla,삼성,0,2017-12-31
데이비드 헤일,david e. hale,한화,0,2017-12-31
타일러 윌슨,tyler wilson,엘지,0,2017-12-31
