,desc,type
pitch_type,,svt
game_date,,svt
release_speed,투구속도,svt
release_pos_x,공의 수평발사 위치,svt
release_pos_z,공의 수직발사 위치,svt
player_name,,svt
batter,,svt
pitcher,,svt
events,공의 결과,svt
description,공의 결과 설명,svt
spin_dir,,svt
spin_rate_deprecated,,svt
break_angle_deprecated,,svt
break_length_deprecated,,svt
zone,존의 위치,svt
des,,svt
game_type,,svt
stand,,svt
p_throws,우완 or 좌완,svt
home_team,,svt
away_team,,svt
type,"B = ball, S = strike, X = in play",svt
hit_location,최초로 공을 잡는 야수 위치,svt
bb_type,타격된 공의 종류,svt
balls,볼,svt
strikes,스트라이크,svt
game_year,,svt
pfx_x,포수 시점에서 공의 수평 이동거리,svt
pfx_z,포수 시점에서 공의 수직 이동거리,svt
plate_x,홈플레이트 통과할때 공의 수평위치,svt
plate_z,홈플레이트 통과할때 공의 수직위치,svt
on_3b,,svt
on_2b,,svt
on_1b,,svt
outs_when_up,투구 전 아웃의 횟수,svt
inning,투구 전 이닝,svt
inning_topbot,,svt
hc_x,타격된 공의 x좌표 위치,svt
hc_y,타격된 공의 y좌표 위치,svt
tfs_deprecated,,svt
tfs_zulu_deprecated,,svt
fielder_2,,svt
umpire,,svt
sv_id,,svt
vx0,x차원 피치의 속도,svt
vy0,y차원 피치의 속도,svt
vz0,z차원 피치의 속도,svt
ax,x차원 피치의 가속도,svt
ay,y차원 피치의 가속도,svt
az,z차원 피치의 가속도,svt
sz_top,,svt
sz_bot,,svt
hit_distance_sc,,svt
launch_speed,,svt
launch_angle,,svt
effective_speed,,svt
release_spin_rate,,svt
release_extension,,svt
game_pk,,svt
pitcher.1,,svt
fielder_2.1,,svt
fielder_3,,svt
fielder_4,,svt
fielder_5,,svt
fielder_6,,svt
fielder_7,,svt
fielder_8,,svt
fielder_9,,svt
release_pos_y,투구의 발사위치 포수 시각에서 측정한 피트 단위거리,svt
estimated_ba_using_speedangle,,svt
estimated_woba_using_speedangle,,svt
woba_value,,svt
woba_denom,,svt
babip_value,,svt
iso_value,,svt
