Name,Season,Team,G,CG,ShO,GS,W,L,SV,HLD,IP,R,ER,TBF,H,2B,3B,HR,BB,IBB,HBP,SO,BK,WP,ERA,FIP,WHIP,ERA+,FIP+,WAR,WPA
니퍼트,2011,두,29,2,1,29,15,6,0,0,187.0,61,53,763,150,,,8,64,0,10,150,0,10,2.55,3.33,1.14,160.6,123.0,6.09,
주키치,2011,L,32,1,1,31,10,8,1,0,187.2,86,75,773,174,,,9,53,2,1,150,3,7,3.6,3.05,1.21,114.0,134.6,5.08,
로페즈,2011,K,26,1,0,24,11,9,1,0,153.2,71,68,631,153,,,14,26,2,9,106,0,3,3.98,3.64,1.17,103.8,113.6,3.59,
리즈,2011,L,30,1,0,28,11,13,0,0,164.2,79,71,719,149,,,11,84,0,15,122,1,8,3.88,4.38,1.42,105.7,93.6,2.82,
사도스키,2011,롯,25,0,0,25,11,8,0,0,140.1,64,61,587,130,,,15,52,1,6,79,0,11,3.91,4.67,1.3,107.3,89.8,2.49,
트레비스,2011,K,25,1,1,22,7,5,0,1,126.2,59,49,548,120,,,13,62,0,3,115,3,12,3.48,4.25,1.44,118.7,97.3,2.41,
글로버,2011,S,24,0,0,24,7,6,0,0,121.0,65,57,518,115,,,11,41,0,9,122,0,9,4.24,3.6,1.29,96.8,114.1,2.33,
고든,2011,S,14,0,0,13,6,4,0,0,75.2,34,32,315,68,,,3,20,0,4,70,0,1,3.81,2.81,1.16,107.8,146.2,2.19,
매티스,2011,삼,10,0,0,10,5,2,0,0,64.1,19,18,272,59,,,1,34,1,0,32,0,3,2.52,3.94,1.45,165.6,105.9,1.98,
나이트,2011,넥,30,0,0,30,7,15,0,0,172.1,98,90,768,169,,,12,98,0,12,115,0,7,4.7,4.68,1.55,87.4,87.9,1.92,
저마노,2011,삼,8,0,0,8,5,1,0,0,45.1,17,14,181,45,,,3,6,0,0,29,0,0,2.78,3.17,1.13,150.1,131.6,1.43,
