kor_name,eng_name,team,release,end_dt
더스틴 니퍼트,dustin nippert,두산,0,2010-12-31
페르난도,fernando alexis nieve,두산,0,2010-12-31
트래비스,travis jarrod blackley,기아,0,2010-12-31
리즈,radhames corey liz,엘지,0,2010-12-31
주키치,benjamin daniel jukich,엘지,0,2010-12-31
오넬리,oneli m. pérez garcia,시즌 중 방출,1,2010-12-31
바티스타,denny m. bautista,한화,0,2010-12-31
데폴라,julio cesar depaula,시즌 중 방출,1,2010-12-31
고든,brian ernest gordon,sk,0,2010-12-31
매그레인,james eugene magrane,sk,0,2010-12-31
덕 매티스,"douglas alan ""doug"" mathis",삼성,0,2010-12-31
저마노,justin william germano,삼성,0,2010-12-31
코리,bryan scott corey,시즌 중 방출,1,2010-12-31
부첵,christopher brandon bootcheck,롯데,0,2010-12-31
탈보트,mitch russell talbot,삼성),0,2011-12-31
헨리 소사,henry sosa,기아,0,2011-12-31
마리오,mario jose santiago,sk,0,2011-12-31
데이브 부시,david thomas bush,sk,0,2011-12-31
유먼,shane demond youman,롯데,0,2011-12-31
앤서니,anthony allen lerew,기아,0,2011-12-31
라미레즈,horacio ramírez,시즌 중 방출,1,2011-12-31
프록터,scott christopher proctor,두산,0,2011-12-31
배스,brian michael bass,시즌 중 방출,1,2011-12-31
션헨,sean michael henn,시즌 중 방출,1,2011-12-31
밴 헤켄,"andrew william ""andy"" van hekken",넥센,0,2011-12-31
로드리게스,aneury rodriguez,시즌 중 방출,1,2012-12-31
크리스 세든,"chris seddon, christopher jon seddon",sk,0,2012-12-31
하이로 어센시오,jairo asencio,기아,0,2012-12-31
조조 레이예스,jo,sk,0,2012-12-31
개릿 올슨,garrett andrew olson,시즌 중 방출,1,2012-12-31
에릭 해커,eric lynn hacker,NC,0,2012-12-31
릭 밴덴헐크,"rick,van den hurk",삼성,0,2012-12-31
다나 이브랜드,dana james eveland,한화,0,2012-12-31
아담 윌크,adam robert wilk,NC,0,2012-12-31
데릭 핸킨스,derek james hankins,두산,0,2012-12-31
듀웨인 빌로우,duane arthur below,기아,0,2012-12-31
찰리,"charles j. ""charlie"" shirek",NC,0,2012-12-31
에릭 해커,eric lynn hacker,NC,0,2012-12-31
로스 울프,"ross wolf, ross garrett wolf",sk,0,2013-12-31
앤드류 앨버스,andrew william albers,한화,0,2013-12-31
크리스 볼스테드,chris volstad,시즌 중 방출,1,2013-12-31
저스틴 토마스,justin joseph thomas,기아,0,2013-12-31
유네스키 마야,yunesky maya,두산,0,2013-12-31
에버렛 티포드,everett james teaford,엘지,0,2013-12-31
마틴,john dale martin,삼성,0,2013-12-31
리오단,cory s. riordan,엘지,0,2013-12-31
밴와트,travis banwart,sk,0,2013-12-31
태드 웨버,thad g. weber,NC,0,2013-12-31
데니스 홀튼,"dennis sean ""d. j."" houlton jr.",시즌 중 방출,1,2013-12-31
토마스,justin joseph thomas,기아,0,2013-12-31
어센시오,jairo manuel asencio,기아,0,2013-12-31
피가로,alfredo figaro,삼성,0,2014-12-31
피어밴드,ryan robert feierabend,넥센,0,2014-12-31
스튜어트,zachary robert stewart,NC,0,2014-12-31
루카스 하렐,lucas harrell,엘지,0,2014-12-31
에반 믹,evan david meek,기아,0,2014-12-31
앤서니 스와잭,anthony ray swarzak,두산,0,2014-12-31
조쉬 린드블럼,josh lindblom,롯데,0,2014-12-31
조쉬 스틴슨,josh stinson,기아,0,2014-12-31
타일러 클로이드,tyler cloyd,삼성,0,2014-12-31
브룩스 레일리,brooks lee raley,롯데,0,2014-12-31
메릴 켈리,merrill kelly,sk,0,2014-12-31
필립 험버,philip gregory humber,시즌 중 방출,1,2014-12-31
로저스,esmil antonio rogers,한화,0,2014-12-31
필 어원,phillip andrew irwin,시즌 중 방출,1,2014-12-31
앤디 시스코,andrew frank sisco,시즌 중 방출,1,2014-12-31
벨레스터,collin thomas balester,시즌 중 방출,1,2015-12-31
코엘로,robert coello,시즌 중 방출,1,2015-12-31
보우덴,michael matthew bowden,두산,0,2015-12-31
데이비드 허프,david gregory huff,엘지,0,2015-12-31
헥터 노에시,hector noesí,기아,0,2015-12-31
요한 플란데,yohan flande,삼성,0,2015-12-31
에릭 서캠프,eric m. surkamp,한화,0,2015-12-31
아놀드 레온,arnold leon,삼성,0,2015-12-31
지크 스프루일,"zeke spruill, ezekiel stephen spruill",기아,0,2015-12-31
앨런 웹스터,allen webster,시즌 중 방출,1,2015-12-31
스캇 코프랜드,scott reast copeland,시즌 중 방출,1,2015-12-31
서캠프,eric michael surkamp,한화,0,2015-12-31
요한 피노,yohan pino,시즌 중 방출,1,2015-12-31
슈가 레이 마리몬,"sugar ray,marimon",시즌 중 방출,1,2015-12-31
제프 맨쉽,jeff manship,NC,0,2016-12-31
카를로스 비야누에바,carlos villanueva,한화,0,2016-12-31
알렉시 오간도,alexi ogando,한화,0,2016-12-31
오설리반,sean daniel o'sullivan,시즌 중 방출,1,2016-12-31
제이크 브리검,jake brigham,키움,0,2016-12-31
팻 딘,pat dean,기아,0,2016-12-31
스캇 다이아몬드,scott michael diamond,sk,0,2016-12-31
앤서니 레나도,anthony ronald ranaudo,삼성,0,2016-12-31
로치,donn mitchel roach,kt,0,2016-12-31
후랭코프,seth frankoff,두산,0,2017-12-31
로건 베렛,logan verrett,NC,0,2017-12-31
리살베르토 보니야,lisalverto bonilla,삼성,0,2017-12-31
데이비드 헤일,david e. hale,한화,0,2017-12-31
타일러 윌슨,tyler wilson,엘지,0,2017-12-31
펠릭스 듀브론트,felix antonio doubront,시즌 중 방출,1,2017-12-31
왕웨이중,wei,NC,0,2017-12-31
앙헬 산체스,angel sánchez,sk,0,2017-12-31
샘슨,keyvius n. sampson,한화,0,2017-12-31
아델만,tim adleman,삼성,0,2017-12-31
채드 벨,chad bell,한화,0,2018-12-31
에릭 요키시,eric jokisch,넥센,0,2018-12-31
케이시 켈리,casey patrick kelly,엘지,0,2018-12-31
조 윌랜드,joe wieland,기아,0,2018-12-31
제이콥 터너,jacob edward turner,기아,0,2018-12-31
윌리엄 쿠에바스,william enrique cuevas,kt,0,2018-12-31
에디 버틀러,eddie butler,시즌 중 방출,1,2018-12-31
덱 맥과이어,deck mcguire,시즌 중 방출,1,2018-12-31
라울 알칸타라,raúl alcántara,kt,0,2018-12-31
저스틴 헤일리,justin haley,시즌 중 방출,1,2018-12-31
워윅 서폴드,warwick anthony saupold,한화,0,2018-12-31
드류 루친스키,drew rucinski,NC,0,2018-12-31
제이크 톰슨,jake thompson,시즌 중 방출,1,2018-12-31
버틀러,eddie butler,시즌 중 방출,1,2018-12-31
프리드릭,christian louis patrick friedrich,NC,0,2018-12-31
벤 라이블리,ben lively,삼성,0,2018-12-31
크리스 플렉센,chris flexen,두산,0,2019-12-31
닉 킹엄,nick kingham,시즌 중 방출,1,2019-12-31
리카르도 핀토,ricardo antonio pinto,sk,0,2019-12-31
마이크 라이트,mike wright,nc,0,2019-12-31
오드리사머 데스파이네,odrisamer despaigne,kt,0,2019-12-31
애런 브룩스,aaron lee brooks,기아,0,2019-12-31
드류 가뇽,drew gagnon,기아,0,2019-12-31
데이비드 뷰캐넌,david buchanan,삼성,0,2019-12-31
댄 스트레일리,dan straily,롯데,0,2019-12-31
