kor_name,eng_name,team,release,end_dt,start_dt,savant_id,fangraphs_id,player_id
니퍼트,Dustin Nippert,두산,0,2010-12-31,2005-01-01,430962.0,4426.0,nippedu01
페르난도,Fernando Nieve,두산,0,2010-12-31,2006-01-01,430588.0,2173.0,nievefe01
트레비스,Travis Blackley,기아,0,2010-12-31,2004-01-01,429715.0,3234.0,blacktr01
리즈,Radhames Liz,엘지,0,2010-12-31,2007-01-01,467785.0,5843.0,lizra01
바티스타,Denny Bautista,한화,0,2010-12-31,2004-01-01,429714.0,1947.0,bautide01
고든,Brian Gordon,sk,0,2010-12-31,2008-01-01,430950.0,2374.0,gordobr01
저마노,Justin Germano,삼성,0,2010-12-31,2004-01-01,430683.0,1938.0,germaju01
코리,Bryan Corey,시즌 중 방출,1,2010-12-31,1998-01-01,132241.0,1439.0,coreybr01
탈보트,Mitch Talbot,삼성),0,2011-12-31,2008-01-01,452676.0,4961.0,talbomi01
소사,Henry Sosa,기아,0,2011-12-31,2011-01-01,464400.0,6936.0,sosahe01
유먼,Shane Youman,롯데,0,2011-12-31,2006-01-01,456558.0,3888.0,youmash01
앤서니,Anthony Lerew,기아,0,2011-12-31,2005-01-01,434679.0,3440.0,lerewan01
프록터,Scott Proctor,두산,0,2011-12-31,2004-01-01,429984.0,1911.0,proctsc01
배스,Brian Bass,시즌 중 방출,1,2011-12-31,2008-01-01,430654.0,2219.0,bassbr01
션헨,Sean Henn,시즌 중 방출,1,2011-12-31,2005-01-01,430675.0,2147.0,hennse01
로드리게스,Aneury Rodriguez,시즌 중 방출,1,2012-12-31,2011-01-01,444553.0,8948.0,rodrian01
세든,Chris Seddon,sk,0,2012-12-31,2007-01-01,434629.0,3833.0,seddoch01
레이예스,Jo-Jo Reyes,sk,0,2012-12-31,2007-01-01,457456.0,5559.0,reyesjo03
올슨,Garrett Olson,시즌 중 방출,1,2012-12-31,2007-01-01,457796.0,9889.0,olsonga01
해커,Eric Hacker,NC,0,2012-12-31,2009-01-01,459345.0,8743.0,hackeer01
밴덴헐크,Rick VandenHurk,삼성,0,2012-12-31,2007-01-01,462995.0,5099.0,vanderi01
이브랜드,Dana Eveland,한화,0,2012-12-31,2005-01-01,445968.0,5508.0,evelada01
아담,Adam Wilk,NC,0,2012-12-31,2011-01-01,573244.0,8421.0,wilkad01
빌로우,Duane Below,기아,0,2012-12-31,2011-01-01,502102.0,3124.0,belowdu01
울프,Ross Wolf,sk,0,2013-12-31,2007-01-01,448693.0,4534.0,wolfro01
앨버스,Andrew Albers,한화,0,2013-12-31,2013-01-01,452027.0,7853.0,alberan01
볼스테드,Chris Volstad,시즌 중 방출,1,2013-12-31,2008-01-01,458690.0,9901.0,volstch01
마야,Yunesky Maya,두산,0,2013-12-31,2010-01-01,493337.0,11420.0,mayayu01
티포드,Everett Teaford,엘지,0,2013-12-31,2011-01-01,501870.0,3732.0,teafoev01
마틴,J.D. Martin,삼성,0,2013-12-31,2009-01-01,455605.0,3685.0,martijd01
웨버,Thad Weber,NC,0,2013-12-31,2012-01-01,519403.0,8036.0,weberth01
토마스,Justin Thomas,기아,0,2013-12-31,2008-01-01,476206.0,9910.0,thomaju01
어센시오,Jairo Asencio,기아,0,2013-12-31,2009-01-01,446003.0,3332.0,valdelu01
피가로,Alfredo Figaro,삼성,0,2014-12-31,2009-01-01,451628.0,8404.0,figaral01
피어밴드,Ryan Feierabend,넥센,0,2014-12-31,2006-01-01,456387.0,6336.0,feierry01
루카스,Lucas Harrell,엘지,0,2014-12-31,2010-01-01,449173.0,7541.0,harrelu01
에반,Evan Meek,기아,0,2014-12-31,2008-01-01,457425.0,5109.0,meekev01
스와잭,Anthony Swarzak,두산,0,2014-12-31,2009-01-01,461872.0,7466.0,swarzan01
린드블럼,Josh Lindblom,롯데,0,2014-12-31,2011-01-01,458676.0,7882.0,lindbjo01
스틴슨,Josh Stinson,기아,0,2014-12-31,2011-01-01,502139.0,3219.0,stinsjo01
클로이드,Tyler Cloyd,삼성,0,2014-12-31,2012-01-01,543031.0,8536.0,cloydty01
레일리,Brooks Raley,롯데,0,2014-12-31,2012-01-01,548384.0,10061.0,raleybr01
험버,Philip Humber,시즌 중 방출,1,2014-12-31,2006-01-01,458950.0,8586.0,humbeph01
로저스,Esmil Rogers,한화,0,2014-12-31,2009-01-01,469134.0,6317.0,rogeres01
벨레스터,Collin Balester,시즌 중 방출,1,2015-12-31,2008-01-01,444446.0,6883.0,balesco01
코엘로,Robert Coello,시즌 중 방출,1,2015-12-31,2010-01-01,445193.0,1149.0,coellro01
보우덴,Michael Bowden,두산,0,2015-12-31,2008-01-01,476601.0,4440.0,bowdemi01
허프,David Huff,엘지,0,2015-12-31,2009-01-01,453307.0,4257.0,huffda01
헥터,Hector Noesi,기아,0,2015-12-31,2011-01-01,456051.0,3292.0,noesihe01
플란데,Yohan Flande,삼성,0,2015-12-31,2014-01-01,456071.0,5057.0,flandyo01
레온,Arnold Leon,삼성,0,2015-12-31,2015-01-01,504186.0,5595.0,leonar01
지크,Zeke Spruill,기아,0,2015-12-31,2013-01-01,543809.0,3873.0,spruize01
웹스터,Allen Webster,시즌 중 방출,1,2015-12-31,2013-01-01,543903.0,3993.0,webstal01
코프랜드,Scott Copeland,시즌 중 방출,1,2015-12-31,2015-01-01,571577.0,10706.0,copelsc01
서캠프,Eric Surkamp,한화,0,2015-12-31,2011-01-01,474668.0,2540.0,surkaer01
피노,Yohan Pino,시즌 중 방출,1,2015-12-31,2014-01-01,464416.0,6955.0,pinoyo01
마리몬,Sugar Marimon,시즌 중 방출,1,2015-12-31,2015-01-01,516970.0,6027.0,marimsu01
맨쉽,Jeff Manship,NC,0,2016-12-31,2009-01-01,453249.0,6865.0,manshje01
비야누에바,Carlos Villanueva,한화,0,2016-12-31,2006-01-01,453646.0,4138.0,villaca01
오간도,Alexi Ogando,한화,0,2016-12-31,2010-01-01,468396.0,10261.0,ogandal01
오설리반,Sean O'Sullivan,시즌 중 방출,1,2016-12-31,2009-01-01,457711.0,9137.0,osullse01
브리검,Jacob Brigham,키움,0,2016-12-31,2015-01-01,502010.0,2851.0,brighja01
팻딘,Pat Dean,기아,0,2016-12-31,2016-01-01,534737.0,11350.0,deanpa02
다이아몬드,Scott Diamond,sk,0,2016-12-31,2011-01-01,539438.0,5089.0,diamosc01
레나도,Anthony Ranaudo,삼성,0,2016-12-31,2014-01-01,519168.0,11424.0,ranauan01
로치,Donn Roach,kt,0,2016-12-31,2014-01-01,543698.0,10620.0,roachdo01
후랭코프,Seth Frankoff,두산,0,2017-12-31,2017-01-01,571676.0,11346.0,frankse01
베렛,Logan Verrett,NC,0,2017-12-31,2015-01-01,548337.0,12905.0,verrelo01
보니야,Lisalverto Bonilla,삼성,0,2017-12-31,2014-01-01,570810.0,11266.0,bonilli01
헤일,David Hale,한화,0,2017-12-31,2013-01-01,571735.0,9756.0,haleda02
윌슨,Tyler Wilson,엘지,0,2017-12-31,2015-01-01,592869.0,12691.0,wilsoty01
듀브론트,Felix Doubront,시즌 중 방출,1,2017-12-31,2010-01-01,467094.0,1478.0,doubrfe01
왕웨이중,Wei-Chung Wang,NC,0,2017-12-31,2014-01-01,623913.0,14382.0,wangwe01
산체스,Angel Sanchez,sk,0,2017-12-31,2017-01-01,605795.0,11776.0,sanchan03
키버스 샘슨,Keyvius Sampson,한화,0,2017-12-31,2015-01-01,572102.0,10039.0,sampske01
아델만,Tim Adleman,삼성,0,2017-12-31,2016-01-01,534947.0,10968.0,adlemti01
채드벨,Chad Bell,한화,0,2018-12-31,2017-01-01,518445.0,10297.0,bellch02
요키시,Eric Jokisch,넥센,0,2018-12-31,2014-01-01,518852.0,11157.0,jokiser01
케이시 켈리,Casey Kelly,엘지,0,2018-12-31,2012-01-01,543391.0,9174.0,kellyca01
윌랜드,Joe Wieland,기아,0,2018-12-31,2012-01-01,543921.0,6109.0,wielajo01
터너,Jacob Turner,기아,0,2018-12-31,2011-01-01,545363.0,10185.0,turneja01
쿠에바스,William Cuevas,kt,0,2018-12-31,2016-01-01,571035.0,13331.0,cuevawi01
맥과이어,Deck McGuire,시즌 중 방출,1,2018-12-31,2017-01-01,592547.0,11596.0,mcguide02
알칸타라,Raul Alcantara,kt,0,2018-12-31,2016-01-01,593417.0,12790.0,alcanra01
헤일리,Justin Haley,시즌 중 방출,1,2018-12-31,2017-01-01,595234.0,13572.0,haleyju01
서폴드,Warwick Saupold,한화,0,2018-12-31,2016-01-01,599683.0,13211.0,saupowa01
루친스키,Drew Rucinski,NC,0,2018-12-31,2014-01-01,607968.0,12499.0,rucindr01
톰슨,Jake Thompson,시즌 중 방출,1,2018-12-31,2016-01-01,622097.0,14371.0,thompja03
버틀러,Eddie Butler,시즌 중 방출,1,2018-12-31,2014-01-01,572750.0,13453.0,butleed01
프리드릭,Christian Friedrich,NC,0,2018-12-31,2012-01-01,543184.0,7942.0,friedch01
라이블리,Ben Lively,삼성,0,2018-12-31,2017-01-01,594902.0,14932.0,livelbe01
플렉센,Chris Flexen,두산,0,2019-12-31,2017-01-01,623167.0,13896.0,flexech01
킹엄,Nick Kingham,시즌 중 방출,1,2019-12-31,2018-01-01,592468.0,11694.0,kinghni01
핀토,Ricardo Pinto,sk,0,2019-12-31,2017-01-01,620982.0,16318.0,pintori01
라이트,Mike Wright Jr.,nc,0,2019-12-31,2015-01-01,605541.0,12586.0,wrighmi01
데스파이네,Odrisamer Despaigne,kt,0,2019-12-31,2014-01-01,628333.0,16017.0,despaod01
브룩스,Aaron Brooks,기아,0,2019-12-31,2014-01-01,605156.0,12272.0,brookaa01
가뇽,Drew Gagnon,기아,0,2019-12-31,2018-01-01,543193.0,12545.0,gagnodr01
뷰캐넌,David Buchanan,삼성,0,2019-12-31,2014-01-01,571527.0,11176.0,buchada01
스트레일리,Dan Straily,롯데,0,2019-12-31,2012-01-01,573185.0,9460.0,straida01
아드리안 샘슨,Adrian Sampson,롯데,0,2019-12-31,2016-01-01,592716.0,13339.0,sampsad01
파슨스,Wes Parsons,nc,0,2020-12-31,2018-01-01,641149.0,14764.0,parsowe01
미란다,Ariel Miranda,두산,0,2020-12-31,2016-01-01,664641.0,17526.0,miranar01
로켓,Walker Lockett,두산,0,2020-12-31,2018-01-01,621141.0,13804.0,lockewa01
스미스,Josh A. Smith,시즌중 방출,1,2020-12-31,2015-01-01,595001.0,10946.0,smithjo07
멩덴,Daniel Mengden,kia,0,2020-12-31,2016-01-01,596043.0,16980.0,mengdda01
프랑코,Enderson Franco,롯데,0,2020-12-31,2019-01-01,575070.0,11896.0,francen01
르위키,Artie Lewicki,ssg,0,2020-12-31,2017-01-01,592499.0,16731.0,lewicar01
폰트,Wilmer Font,ssg,0,2020-12-31,2012-01-01,521655.0,5257.0,fontwi01
카펜터,Ryan Carpenter,한화,0,2020-12-31,2018-01-01,543001.0,12699.0,carpery01
앤드류 수아레즈,Andrew Suarez,엘지,0,2020-12-31,2018-01-01,605498.0,18300.0,suarean01
몽고메리,Mike Montgomery,삼성,0,2020-12-31,2015-01-01,543557.0,4869.0,montgmi01
